max_new_tokens,repetition_penalty,CNN,LogisticRegression,LSTM,NaiveBayes,RandomForest,RNN,SVM
100,0.5,0.9,0.9,0.9,0.75,1.0,0.8,0.6
100,1.0,0.9,0.95,0.9,0.8,1.0,0.8,0.9
200,0.5,0.9,0.9,0.95,0.75,1.0,0.75,0.65
200,1.0,0.85,0.9,0.8,0.8,1.0,0.7,0.95
